country,region,footprintallGHGpercapita,CH4percapita,footprintallGHG
Austria,Eastern Europe,16.44,1.98,134377
Germany,Western Europe,15.74,1.56,1298868
Luxembourg,Western Europe,41.2,3.65,18874
Poland,Eastern Europe,8.92,1.03,340723
Australia,Australia,22.8,4.07,458921
Brazil,Latin America,3.85,1.39,707585
China,Asia,4.07,.51,5270002
India,Asia,1.68,.45,1811538
Mexico,Latin America,6.26,1.51,638864
Turkey,Asia,5.56,1.38,390757
United States,North America,26.71,2.58,7825865
