District,Representative,Party,Prior experience,Education,Assumed Office,Born In,
Louisiana 6,"Garret Graves official portrait, 2015.jpg Garret Graves",,Republican,Louisiana Coastal Protection and Restoration Authority,,2015,1972
Maine 1,Chellie Pingree.jpg Chellie Pingree,,Democratic,"Majority Leader Maine State Senate, President Common Cause",College of the Atlantic,2009,1955
Maine 2,Bruce Poliquin official congressional photo.jpeg Bruce Poliquin,,Republican,Maine State Treasurer,Harvard University,2015,1953
Maryland 1,"Andy Harris, Official Portrait, 112th Congress.jpg Andy Harris",,Republican,"Maryland State Senate, Anesthesiologist",Johns Hopkins University,2011,1957
Maryland 2,Dutchruppersberger.jpeg Dutch Ruppersberger,,Democratic,Baltimore County Executive; Chief of the Office of Investigative Division for Maryland's Department of Justice; Baltimore County Assistant State's Attorney,University of Maryland,,
University of Baltimore,2003,1946,,,,,
Maryland 3,"John Sarbanes, official 110th Congress photo portrait 2.jpg John Sarbanes",,Democratic,"Attorney, Law Clerk",Princeton University,,
Harvard Law School,2007,1962,,,,,
Maryland 4,The hon donna edwards.jpg Donna Edwards,,Democratic,Community Activist,Wake Forest University,,
University of New Hampshire School of Law,2008*,1958,,,,,
Maryland 5,"Steny Hoyer, official photo as Whip.jpg Steny Hoyer",,Democratic,Current House Minority Whip,,,
"President of the Maryland State Senate, Maryland Board of Higher Education",University of Maryland,,,,,,
Georgetown University,1981*,1939,,,,,
Maryland 6,John Delaney 113th Congress official photo.jpg John Delaney,,Democratic,Businessman,Columbia University,,
Georgetown University Law Center,2013,1963,,,,,
Maryland 7,Elijah Cummings23.jpg Elijah Cummings,,Democratic,Speaker pro tempore of the Maryland House of Delegates,Howard University,,
University of Maryland,1996*,1951,,,,,
Maryland 8,"Chris Van Hollen official portrait, 2010.jpg Chris Van Hollen",,Democratic,"Maryland State Senate, Maryland House of Delegates",Swarthmore College,,
Harvard University,,,,,,,
Georgetown University,2003,1959,,,,,
Massachusetts 1,Richardneal.jpg Richard Neal,,Democratic,Mayor of Springfield,American International College,,
University of Hartford,1989,1949,,,,,
Massachusetts 2,"Jim McGovern, official 111th Congress photo.jpg Jim McGovern",,Democratic,Congressional staff member,American University,1997,1959
Massachusetts 3,Niki Tsongas official portrait - 112th Congress (2012).jpg Niki Tsongas,,Democratic,Dean of External Affairs at Middlesex Community College,Smith College,,
Boston University,2007*,1946,,,,,
Massachusetts 4,"Joe Kennedy, Official Portrait, 113th Congress.jpg Joe Kennedy",,Democratic,"Prosecutor, assistant district attorney",Stanford University,,
Harvard University,2013,1980,,,,,
Massachusetts 5,Katherine Clark 2013.jpg Katherine Clark,,Democratic,"Massachusetts Senate, Massachusetts House of Representatives, Attorney",St. Lawrence University,,
Cornell University,,,,,,,
Harvard University,2013*,1963,,,,,
Massachusetts 6,Seth Moulton.jpg Seth Moulton,,Democratic,"Businessman, Activist, U.S. Marine Corps Captain",Harvard University,2015,1978
Massachusetts 7,Mike Capuano.jpg Mike Capuano,,Democratic,Mayor of Somerville,Dartmouth College,,
Boston College Law School,1999,1952,,,,,
Massachusetts 8,"Stephen F. Lynch, 2008 cropped.jpg Stephen F. Lynch",,Democratic,"Massachusetts Senate, Massachusetts House of Representatives",Wentworth Institute of Technology,,
Boston College Law School,2001*,1955,,,,,
Massachusetts 9,William Keating 112th Congress Portrait.jpg Bill Keating,,Democratic,"Massachusetts House of Representatives, Massachusetts Senate, Norfolk County District Attorney",Boston College,,
Suffolk University Law School,2011,1952,,,,,
Michigan 1,"Dan Benishek, Official Portrait, 112th Congress.JPG Dan Benishek",,Republican,surgeon,University of Michigan,,
Wayne State University School of Medicine,2011,1952,,,,,
Michigan 2,Bill Huizenga official congressional photo.jpg Bill Huizenga,,Republican,Michigan House of Representatives,Calvin College,2011,1969
Michigan 3,Congressman Justin Amash.jpg Justin Amash,,Republican,Michigan House of Representatives,University of Michigan,,
University of Michigan Law School,2011,1980,,,,,
Michigan 4,John Moolenaar.jpg John Moolenaar,,Republican,"Michigan Senate, Michigan House of Representatives",Hope College,,
Harvard University,2015,1961,,,,,
Michigan 5,Kildee-MI05-pic.jpg Dan Kildee,,Democratic,Genessee County Treasurer,Central Michigan University,2013,1958
Michigan 6,Fred Upton 113th Congress.jpg Fred Upton,,Republican,U.S. government administrator,University of Michigan,1987,1953
Michigan 7,"Tim Walberg, Official Portrait, 112th Congress.jpg Tim Walberg",,Republican,"U.S. House, Michigan House of Representatives",Taylor University,,
Wheaton College,2011,1951,,,,,
Michigan 8,Mike Bishop official congressional photo.jpg Mike Bishop,,Republican,"Michigan Senate Majority Leader, Michigan House of Representatives",University of Michigan,,
Detroit College of Law,2015,1967,,,,,
Michigan 9,"Sander Levin, Official Portrait.JPG Sander Levin",,Democratic,"Michigan Senate, U.S. Government administrator",University of Chicago,,
Columbia University,,,,,,,
Harvard Law School,1983,1931,,,,,
Michigan 10,"Candice Miller, official portrait, 112th Congress.jpg Candice Miller",,Republican,"Harrison Township Supervisor, Macomb County Treasurer, Michigan Secretary of State",Macomb Community College,,
Northwood University,2003,1954,,,,,
Michigan 11,David Trott official congressional photo.jpg David Trott,,Republican,Lawyer,University of Michigan,,
Duke University School of Law,2015,1960,,,,,
Michigan 12,Debbie Dingell official portrait.jpg Debbie Dingell,,Democratic,"Lobbyist, Wife of John Dingell",Georgetown University,2015,1953
Michigan 13,John Conyers 113th Congress.jpg John Conyers,,Democratic,Congressional aide,Wayne State University,1965,1929
Michigan 14,Rep. Brenda Lawrence Official Portrait.jpg Brenda Lawrence,,Democratic,Mayor of Southfield,Central Michigan University,2015,1954
Minnesota 1,TIM WALZ2014.jpg Tim Walz,,Democratic,"Army National Guard Command Sergeant Major, teacher",Chadron State College,2007,1964
Minnesota 2,Johnkline.jpg John Kline,,Republican,U.S. Marine Corps Colonel,Rice University,,
Shippensburg University,2003,1947,,,,,
Minnesota 3,Erik Paulsen.jpg Erik Paulsen,,Republican,Majority Leader of the Minnesota House of Representatives,St. Olaf College,2009,1965
Minnesota 4,Mccollum-betty-rep.gif Betty McCollum,,Democratic,"North St. Paul City Council, Minnesota House of Representatives",College of St. Catherine,2001,1954
Minnesota 5,Keithellison.jpg Keith Ellison,,Democratic,Minnesota House of Representatives,Wayne State University,,
University of Minnesota Law School,2007,1963,,,,,
Minnesota 6,Tom Emmer official portrait 114th Congress.jpg Tom Emmer,,Republican,Minnesota House of Representatives,University of Alaska Fairbanks,,
William Mitchell College of Law,2015,1961,,,,,
Minnesota 7,"Collin Peterson, Official Portrait, c.112th Congress.jpg Collin Peterson",,Democratic,"Certified Public Accountant, Minnesota Senate",Moorhead State University,1991,1944
Minnesota 8,Rick Nolan official photo.jpg Rick Nolan,,Democratic,"Minnesota House of Representatives, U.S. House, businessman",St. John's University,,
University of Minnesota,,,,,,,
University of Maryland,,,,,,,
St. Cloud State University,2013,1943,,,,,
Mississippi 1,Trent Kelly official congressional photo.jpg Trent Kelly,,Republican,"District attorney, Tupelo, city prosecutor, Army National Guard Colonel",University of Mississippi,,
U.S. Army War College,2015*,1966,,,,,
Mississippi 2,Bennie thompson2014.jpg Bennie Thompson,,Democratic,"alderman, mayor of Bolton, Hinds County Board of Supervisors",Tougaloo College,,
Jackson State University,1993*,1948,,,,,
Mississippi 3,Greg Harper official photo.jpg Gregg Harper,,Republican,"Attorney, Rankin County Party Chairman",Mississippi College,,
University of Mississippi,2009,1956,,,,,
Mississippi 4,"Steven Palazzo, Official Portrait, 112th Congress.jpg Steven Palazzo",,Republican,Mississippi House of Representatives,University of Southern Mississippi,2011,1970
Missouri 1,Williamclay.jpeg William Clay,,Democratic,"Missouri Senate, Missouri House of Representatives",University of Maryland,,
Harvard University,2001,1956,,,,,
Missouri 2,Ann Wagner 113th Congress official photo.jpg Ann Wagner,,Republican,U.S. Ambassador to Luxembourg,University of Missouri,2013,1962
Missouri 3,Blaine Luetkemeyer.jpg Blaine Luetkemeyer,,Republican,"Missouri House of Representatives, State Tourism Director",Lincoln University,2009,1960
Missouri 4,"Vicky Hartzler official photo, 114th Congress.jpg Vicky Hartzler",,Republican,Missouri House of Representatives,University of Missouri,,
Central Missouri State University,2011,1960,,,,,
Missouri 5,Rep. Emanuel Cleaver.jpg Emanuel Cleaver,,Democratic,"Mayor of Kansas City, pastor, radio show host",Prairie View A&M University,,
St. Paul School of Theology,2005,1944,,,,,
Missouri 6,"Sam Graves, Official Portrait, c113th Congress.jpg Sam Graves",,Republican,Missouri Senate,University of Missouri,2001,1963
Missouri 7,Billy Long official congressional photo.jpg Billy Long,,Republican,auctioneer,National Auctioneers Association Education Institute,2011,1955
Missouri 8,"Jason T. Smith, Official Portrait, 113th Congress.jpg Jason T. Smith",,Republican,Missouri House of Representatives,University of Missouri,2013*,1980
Montana At Large,Ryan Zinke official congressional photo.jpg Ryan Zinke,,Republican,"Montana Senate, U.S. Navy Commander",University of Oregon,,
National University,,,,,,,
University of San Diego,2015,1961,,,,,
Nebraska 1,Jeff Fortenberry Official.jpg Jeff Fortenberry,,Republican,"Lincoln city council, businessman",Louisiana State University,,
Georgetown University,,,,,,,
Franciscan University of Steubenville,2005,1960,,,,,
Nebraska 2,Brad Ashford Congress.jpg Brad Ashford,,Democratic,Nebraska Legislature,Colgate University,,
Creighton University School of Law,2015,1949,,,,,
Nebraska 3,"Adrian Smith, official 110th Congress photo portrait.jpg Adrian Smith",,Republican,"Gering City Council, Nebraska Legislature",University of Nebraska,2007,1970
Nevada 1,Dina Titus official photo 2009.jpg Dina Titus,,Democratic,"U.S. House, Nevada Senate",College of William & Mary,,
University of Georgia,,,,,,,
Florida State University,2013,1950,,,,,
Nevada 2,Mark Amodei.jpg Mark Amodei,,Republican,"Nevada Senate, Nevada Assembly","University of Nevada, Reno",,
University of the Pacific,2011*,1958,,,,,
Nevada 3,"Joe Heck, Official Portrait, 112th Congress.jpg Joe Heck",,Republican,Nevada Senate,Pennsylvania State University,,
Philadelphia College of Osteopathic Medicine,,,,,,,
U.S. Army War College,2011,1961,,,,,
Nevada 4,2015-01-08 OfficialPhoto RepCresentHardy NV04.jpg Cresent Hardy,,Republican,Nevada Assembly,Dixie State College,2015,1957
New Hampshire 1,Frank Guinta official portrait 114th Congress.jpg Frank Guinta,,Republican,"U.S. House, Mayor of Manchester, New Hampshire House of Representatives",Assumption College,,
Franklin Pierce Law Center,2015,1970,,,,,
New Hampshire 2,"Anne McLane Kuster, Official Portrait, 113th Congress.jpg Ann McLane Kuster",,Democratic,"Attorney, lobbyist",Dartmouth College,,
Georgetown University Law Center,2013,1956,,,,,
New Jersey 1,RepDonaldNorcross-official-cropped.png Donald Norcross,,Democratic,"New Jersey Senate, New Jersey General Assembly",Camden County College,2014*,1958
New Jersey 2,Frank A. LoBiondo 113th Congress.jpg Frank LoBiondo,,Republican,New Jersey General Assembly,St. Joseph's University,2003,1946
New Jersey 3,Tom MacArthur official congressional photo.jpg Tom MacArthur,,Republican,Mayor of Randolph,Hofstra University,2015,1960
New Jersey 4,Day2 chris smith.jpg Chris Smith,,Republican,Retail executive,Trenton State College,1981,1953
New Jersey 5,Scott Garrett official congressional photo.jpg Scott Garrett,,Republican,New Jersey General Assembly,Montclair State University,,
Rutgers University,2003,1959,,,,,
New Jersey 6,"Frank Pallone, Official Portrait, 113th Congress.jpg Frank Pallone",,Democratic,"Long Branch city council, New Jersey Senate",Middlebury College,,
Tufts University,,,,,,,
Rutgers University,1988*,1951,,,,,
New Jersey 7,Leonard Lance official congressional photo.jpg Leonard Lance,,Republican,"New Jersey Senate, New Jersey General Assembly",Lehigh University,,
Vanderbilt University,,,,,,,
Princeton University,2009,1952,,,,,
New Jersey 8,Albio sires.jpg Albio Sires,,Democratic,"Mayor of West New York, Speaker of the New Jersey General Assembly",Saint Peter's College,,
Middlebury College,2006*,1951,,,,,
New Jersey 9,Bill pascrell 375.jpg Bill Pascrell,,Democratic,"New Jersey General Assembly, Mayor of Paterson",Fordham University,1997,1937
New Jersey 10,"Donald Payne Jr Official Portrait 113th Congress.png Donald Payne, Jr.",,Democratic,"Newark Municipal Council, Essex County Freeholder",Kean University,2012*,1958
New Jersey 11,"Rodney Frelinghuysen official photo, 114th Congress.jpg Rodney Frelinghuysen",,Republican,New Jersey General Assembly,Hobart College,1995,1946
New Jersey 12,Bonnie Watson Coleman official portrait.jpg Bonnie Watson Coleman,,Democratic,New Jersey General Assembly Majority Leader,Thomas Edison State College,2015,1945
New Mexico 1,Michelle Lujan Grisham official photo.jpg Michelle Lujan Grisham,,Democratic,"Bernalillo County Commissioner, New Mexico Secretary of Health, Director of New Mexico Agency on Aging",University of New Mexico,,
University of New Mexico School of Law,2013,1959,,,,,
New Mexico 2,"Steve Pearce, Official Portrait, 112th Congress.jpg Steve Pearce",,Republican,"U.S. House, New Mexico House of Representatives",New Mexico State University,,
Eastern New Mexico University,2011,1947,,,,,
New Mexico 3,BenLujan2016.jpg Ben Luján,,Democratic,New Mexico Public Regulation Commissioner,New Mexico Highlands University,2009,1972
New York 1,Lee Zeldin official congressional photo.jpg Lee Zeldin,,Republican,New York Senate,"University at Albany, SUNY",,
Albany Law School,2015,1980,,,,,
New York 2,"Peter T. King, official portrait, 112th Congress.jpg Peter King",,Republican,"Hempstead Town Council, Nassau County Comptroller",St. Francis College,,
University of Notre Dame,1993,1944,,,,,
New York 3,"Steve Israel, official photo portrait, 2009.jpeg Steve Israel",,Democratic,Huntington Town Board,George Washington University,2001,1958
New York 4,Kathleen Rice official portrait.jpg Kathleen Rice,,Democratic,Nassau County District Attorney,Catholic University,,
Touro Law Center,2015,1965,,,,,
New York 5,"Gregory Meeks, Official Photo.jpg Gregory Meeks",,Democratic,New York State Assembly,Adelphi University,,
Howard University,1998*,1953,,,,,
New York 6,Grace Meng Official Congressional Photo.jpg Grace Meng,,Democratic,New York State Assembly,University of Michigan,,
Benjamin N. Cardozo School of Law,2013,1975,,,,,
New York 7,NV-official-photo-300ppi.jpg Nydia Velázquez,,Democratic,"Director, Dept. of Puerto Rican Community Affairs",University of Puerto Rico,,
New York University,1993,1953,,,,,
New York 8,HakeemJ.jpg Hakeem Jeffries,,Democratic,New York State Assembly,New York University School of Law,,
Georgetown University,,,,,,,
Binghamton University,2013,1970,,,,,
New York 9,Yvette Clarke Official.jpg Yvette Clarke,,Democratic,New York City Council,Oberlin College,2007,1964
New York 10,Jerrold Nadler.jpg Jerrold Nadler,,Democratic,New York State Assembly,Columbia University,,
Fordham University,1992*,1947,,,,,
New York 11,Congressman Daniel Donovan.jpg Daniel Donovan,,Republican,Richmond County District Attorney,St. John's University,,
Fordham University,2015*,1956,,,,,
New York 12,Carolynmaloney.jpg Carolyn Maloney,,Democratic,New York City Council,Greensboro College,1993,1948
New York 13,Charles B. Rangel 113th Congress.jpg Charles Rangel,,Democratic,"United States Army Sergeant, attorney, New York State Assembly",New York University,,
St. John's University,1971,1930,,,,,
New York 14,Crowley114.jpg Joseph Crowley,,Democratic,New York State Assembly,Queens College,1999,1962
New York 15,José E. Serrano 113th Congress.jpg José Serrano,,Democratic,New York State Assembly,Lehman College,1990*,1943
New York 16,"Eliot Engel, official photo portrait.jpg Eliot Engel",,Democratic,"high school teacher, New York State Assembly",Lehman College,,
New York Law School,1989,1947,,,,,
New York 17,Nitalowey.jpeg Nita Lowey,,Democratic,New York Assistant Secretary of State,Mount Holyoke College,1989,1937
New York 18,Congressman Maloney official.jpg Sean Patrick Maloney,,Democratic,Attorney,University of Virginia,2013,1966
New York 19,Chris Gibson 2.jpg Chris Gibson,,Republican,United States Army,Siena College,,
Cornell University,2011,1964,,,,,
New York 20,Paultonko.jpg Paul Tonko,,Democratic,New York State Assembly,Clarkson University,2009,1949
New York 21,Elise Stefanik official congressional photo.jpg Elise Stefanik,,Republican,"Civil servant, Political activist",Harvard University,2015,1984
New York 22,"Richard Hanna, Official Portrait, 112th Congress.jpg Richard Hanna",,Republican,businessman,Reed College,2011,1951
New York 23,TomReedNewOfficial.jpg Tom Reed,,Republican,Mayor of Corning,Alfred University,,
"Ohio Northern University, Pettit College of Law",2010*,1971,,,,,
New York 24,John Katko.jpg John Katko,,Republican,"Attorney, Prosecutor U.S. Attorney's Office",Niagara University,,
Syracuse University College of Law,2015,1962,,,,,
New York 25,"Louise Slaughter, Official Portrait, 113th congress.jpg Louise Slaughter",,Democratic,"Monroe County Legislature, New York State Assembly",University of Kentucky,1987,1929
New York 26,"Brian Higgins, official Congressional photo portrait.JPG Brian Higgins",,Democratic,"Buffalo Common Council, New York State Assembly",University at Buffalo,,
Harvard University,2005,1959,,,,,
New York 27,Chris Collins Updated Official Portrait 113th Congress.jpg Chris Collins,,Republican,Erie County Executive,North Carolina State University,,
University of Alabama at Birmingham,2013,1950,,,,,
North Carolina 1,"G.K. Butterfield, Official portrait, 114th Congress.jpg G. K. Butterfield",,Democratic,North Carolina Supreme Court Justice,North Carolina Central University,2004*,1947
North Carolina 2,ReneeEllmers113th.jpg Renee Ellmers,,Republican,registered nurse,Oakland University,2011,1964
North Carolina 3,"Walter Jones, official portrait, 111th Congress.jpg Walter Jones",,Republican,North Carolina House of Representatives,Atlantic Christian College,1995,1943
North Carolina 4,"David Price, official Congressional photo portrait.JPG David Price",,Democratic,college professor,Mars Hill College,,
University of North Carolina at Chapel Hill,,,,,,,
Yale University,1997,1940,,,,,
North Carolina 5,Virginia Foxx.jpg Virginia Foxx,,Republican,North Carolina Senate,University of North Carolina at Chapel Hill,,
University of North Carolina at Greensboro,2005,1943,,,,,
North Carolina 6,Mark Walker official photo.jpg Mark Walker,,Republican,Southern Baptist pastor,Piedmont International University,2015,1969
North Carolina 7,Rouzer.jpg David Rouzer,,Republican,North Carolina Senate,North Carolina State University,2015,1972
North Carolina 8,Richard Hudson official congressional photo.jpg Richard Hudson,,Republican,Businessman,University of North Carolina at Charlotte,2013,1971
North Carolina 9,"Robert Pittenger, Official Portrait, 113th Congress.jpg Robert Pittenger",,Republican,North Carolina Senate,University of Texas,2013,1948
North Carolina 10,Patrick McHenry Official.jpg Patrick McHenry,,Republican,North Carolina House of Representatives,North Carolina State University,,
Belmont Abbey College,2005,1975,,,,,
North Carolina 11,"Mark Meadows, Official Portrait, 113th Congress.jpg Mark Meadows",,Republican,Businessman,University of South Florida,2013,1959
North Carolina 12,Alma Adams official portrait.jpg Alma Adams,,Democratic,North Carolina House of Representatives,North Carolina A&T State University,,
Ohio State University,2014*,1946,,,,,
North Carolina 13,George Holding.jpg George Holding,,Republican,U.S. Attorney for Eastern North Carolina,Wake Forest University,,
Wake Forest University School of Law,2013,1968,,,,,
North Dakota At Large,"Kevin Cramer, official portrait, 113th Congress.jpg Kevin Cramer",,Republican,North Dakota Public Service Commissioner,Concordia College,,
University of Mary,2013,1961,,,,,
Ohio 1,SteveChabot.jpg Steve Chabot,,Republican,"Cincinnati City Council, Hamilton County Commissioner, U.S. House",College of William & Mary,,
Northern Kentucky University,2011,1953,,,,,
Ohio 2,Brad Wenstrup official.jpg Brad Wenstrup,,Republican,Physician,University of Cincinnati,2013,1958
Ohio 3,Joyce Beatty congressional portrait 114th Congress.jpg Joyce Beatty,,Democratic,Ohio House of Representatives,Central State University,,
Wright State University,,,,,,,
University of Cincinnati,2013,1951,,,,,
Ohio 4,"Jim Jordan official photo, 114th Congress.jpg Jim Jordan",,Republican,"Ohio Senate, Ohio House of Representatives",University of Wisconsin–Madison,2007,1964
Ohio 5,"Bob Latta, official 110th Congress photo portrait.jpg Bob Latta",,Republican,"Wood County Commissioner, Ohio House of Representatives, Ohio Senate",Bowling Green State University,,
University of Toledo,2007,1956,,,,,
Ohio 6,"Bill Johnson, Official Portrait, 112th Congress.jpg Bill Johnson",,Republican,United States Air Force,Troy University,2011,1954
Ohio 7,"Bob Gibbs, Official Portrait, 112th Congress.jpg Bob Gibbs",,Republican,"Ohio Senate, Ohio House of Representatives",Ohio State University Agricultural Technical Institute,2011,1954
Ohio 8,Warren Davidson official congressional photo.jpg Warren Davidson,,Republican,Businessman,United States Military Academy,,
University of Notre Dame,2016,1970,,,,,
Ohio 9,"Marcy Kaptur, official photo portrait, color.jpg Marcy Kaptur",,Democratic,"Domestic Policy Advisor, Carter Adm.",University of Wisconsin,,
University of Michigan,,,,,,,
Massachusetts Institute of Technology,1983,1946,,,,,
Ohio 10,Congressman Mike Turner.jpg Mike Turner,,Republican,Mayor of Dayton,Ohio Northern University,,
Case Western Reserve University,,,,,,,
University of Dayton,2003,1960,,,,,
Ohio 11,Marcia fudge.jpg Marcia Fudge,,Democratic,Mayor of Warrensville Heights,Ohio State University,,
Cleveland-Marshall College of Law,2008*,1952,,,,,
Ohio 12,Pat Tiberi official.jpg Pat Tiberi,,Republican,Ohio House of Representatives,Ohio State University,,
Capital University,2001,1962,,,,,
Ohio 13,Rep. Tim Ryan Congressional Head Shot 2010.jpg Tim Ryan,,Democratic,Ohio Senate,Bowling Green State University,,
University of New Hampshire School of Law,2003,1973,,,,,
Ohio 14,David Joyce.jpg David Joyce,,Republican,Geauga County Prosecutor,University of Dayton,2013,1957
Ohio 15,"Steve Stivers, Official Portrait, 112th Congress.jpg Steve Stivers",,Republican,Ohio Senate,Ohio State University,2011,1965
Ohio 16,"Jim Renacci, Official Portrait, 112th Congress.jpg Jim Renacci",,Republican,"businessman, Mayor of Wadsworth",Indiana University of Pennsylvania,2011,1958
Oklahoma 1,"Jim Bridenstine, official portrait, 113th Congress.jpg Jim Bridenstine",,Republican,Museum director,Rice University,,
Samuel Curtis Johnson Graduate School of Management,2013,1975,,,,,
Oklahoma 2,Markwayne Mullin official congressional photo.jpg Markwayne Mullin,,Republican,Businessman,Missouri Valley College,2013,1977
Oklahoma 3,Frank Lucas.jpg Frank Lucas,,Republican,Oklahoma House of Representatives,Oklahoma State University,1994*,1960
Oklahoma 4,Tom Cole official congressional photo.jpg Tom Cole,,Republican,"Oklahoma Senate, Oklahoma Secretary of State, college professor",Grinnell College,,
Yale University,,,,,,,
University of Oklahoma,2003,1949,,,,,
Oklahoma 5,Steve Russell official congressional photo.jpg Steve Russell,,Republican,"Oklahoma Senate, U. S. Army Lieutenant Colonel",Ouachita Baptist University,2015,1963
Oregon 1,Suzanne Bonamici.jpg Suzanne Bonamici,,Democratic,"Oregon House of Representatives, Oregon State Senate",Lane Community College,,
University of Oregon,2012*,1954,,,,,
Oregon 2,Greg Walden official photo.jpg Greg Walden,,Republican,"Oregon House of Representatives, Oregon State Senate",University of Oregon,1999,1957
Oregon 3,Earlblumenauer.jpeg Earl Blumenauer,,Democratic,"Oregon House of Representatives, Multnomah County Commissioner, Portland City Commissioner",Lewis & Clark College,1996*,1948
Oregon 4,"Peter DeFazio, Official Portrait, 112th Congress.jpg Peter DeFazio",,Democratic,Lane County Commissioner,Tufts University,,
University of Oregon,,,,,,,
University of Notre Dame,1987,1947,,,,,
Oregon 5,Kurt schrader.jpg Kurt Schrader,,Democratic,"Veterinarian, Oregon State Senate",Cornell University,,
University of Illinois,2009,1951,,,,,
Pennsylvania 1,Bobbrady.jpeg Bob Brady,,Democratic,Congressional aide; Pennsylvania Turnpike Commission,St. Thomas More High School,1998*,1945
Pennsylvania 2,Dwight Evans.jpg Dwight Evans,,Democratic,,La Salle University,2016*,1954
Pennsylvania 3,"Mike Kelly, Official Portrait, 112th Congress.jpg Mike Kelly",,Republican,businessman,University of Notre Dame,2011,1948
Pennsylvania 4,Scott Perry official photo.jpg Scott Perry,,Republican,Pennsylvania House of Representatives,Pennsylvania State University,2013,1962
Pennsylvania 5,GT Thompson (111th).jpg Glenn Thompson,,Republican,Centre County Party Chairman,Penn State University,,
Temple University,2009,1959,,,,,
Pennsylvania 6,Ryan Costello official congressional photo.jpg Ryan Costello,,Republican,"Chester County Board of Commissioners, Chester County Recorder of Deeds",Ursinus College,,
Villanova University School of Law,2015,1976,,,,,
Pennsylvania 7,"Pat Meehan, Official Portrait, 112th Congress.jpg Pat Meehan",,Republican,"Delaware County District Attorney, U.S. Attorney for the Eastern District of Pennsylvania",Bowdoin College,,
Temple Law School,2011,1955,,,,,
Pennsylvania 8,"Mike Fitzpatrick, Official Portrait, 112th Congress.jpg Mike Fitzpatrick",,Republican,"Bucks County Commissioner, U.S. House",St. Thomas University,,
Dickinson School of Law,2011,1963,,,,,
Pennsylvania 9,"Bill Shuster, official photo portrait, 2005.JPG Bill Shuster",,Republican,Businessman,Dickinson College,,
American University,2001*,1961,,,,,
Pennsylvania 10,"Tom Marino Official Portrait, 112th Congress.jpg Tom Marino",,Republican,"Lycoming County District Attorney, U.S. Attorney for the Middle District of Pennsylvania",Lycoming College,,
Dickinson School of Law,2011,1952,,,,,
Pennsylvania 11,Lou Barletta.jpg Lou Barletta,,Republican,Mayor of Hazleton,Luzerne County Community College,,
Bloomsburg University of Pennsylvania,2011,1956,,,,,
Pennsylvania 12,"Keith Rothfus, Official Portrait, 113th Congress.jpg Keith Rothfus",,Republican,Attorney,SUNY Buffalo,,
University of Notre Dame,2013,1962,,,,,
Pennsylvania 13,Brendan Boyle House Portrait.jpg Brendan F. Boyle,,Democratic,Pennsylvania House of Representatives,University of Notre Dame,,
Harvard University,2015,1977,,,,,
Pennsylvania 14,Michael F. Doyle 113th Congress.jpg Michael Doyle,,Democratic,State Senator Chief of Staff,Penn State University,1995,1953
Pennsylvania 15,DENT Headshot 113th Congress - cropped.jpg Charlie Dent,,Republican,"Pennsylvania State Senate, Pennsylvania House of Representatives",Penn State University,,
Lehigh University,2005,1960,,,,,
Pennsylvania 16,"Joe Pitts, official portrait, 113th Congress.jpg Joe Pitts",,Republican,Pennsylvania House of Representatives,Asbury College,1997,1939
Pennsylvania 17,"Matt Cartwright, official portrait, 113th Congress.jpg Matt Cartwright",,Democratic,Attorney,Hamilton College,,
University of Pennsylvania Law School,2013,1961,,,,,
Pennsylvania 18,113th Congress Official Photo of Rep. Tim Murphy.jpg Timothy F. Murphy,,Republican,Pennsylvania State Senate,Wheeling Jesuit University,,
Cleveland State University,,,,,,,
University of Pittsburgh,2003,1952,,,,,
Rhode Island 1,"David Cicilline, Official Portrait, 112th Congress 2.jpg David Cicilline",,Democratic,"Mayor of Providence, Rhode Island House of Representatives",Brown University,,
Georgetown University Law Center,2011,1961,,,,,
Rhode Island 2,James R. Langevin 113th Congress.jpg Jim Langevin,,Democratic,"Secretary of State of Rhode Island, Rhode Island House of Representatives",Rhode Island College,,
Harvard University,2001,1964,,,,,
South Carolina 1,"Mark Sanford, Official Portrait, 113th Congress.jpg Mark Sanford",,Republican,"U.S. House (1995-2001), Governor of South Carolina",Furman University,,
University of Virginia,2013*,1960,,,,,
South Carolina 2,Joe Wilson official congressional photo.jpg Joe Wilson,,Republican,South Carolina Senate,Washington and Lee University,,
University of South Carolina School of Law,2001*,1947,,,,,
South Carolina 3,Jeff Duncan official photo.png Jeff Duncan,,Republican,South Carolina House of Representatives,Clemson University,2011,1966
South Carolina 4,"Trey Gowdy, Official Portrait, 112th Congress.jpg Trey Gowdy",,Republican,7th Circuit Solicitor,Baylor University,,
University of South Carolina School of Law,2011,1964,,,,,
South Carolina 5,"Mick Mulvaney, Official Portrait, 113th Congress.jpg Mick Mulvaney",,Republican,"South Carolina House of Representatives, South Carolina Senate",Georgetown University,,
University of North Carolina at Chapel Hill,2011,1967,,,,,
South Carolina 6,"James Clyburn, official Congressional Majority Whip photo.jpg Jim Clyburn",,Democratic,"Political aide, teacher",South Carolina State University,1993,1940
South Carolina 7,"Tom Rice, Official Portrait, 113th Congress - full.jpg Tom Rice",,Republican,"Attorney, businessman, chairman of the Horry County Council",University of South Carolina,2013,1957
South Dakota At Large,Kristi Noem portrait.jpg Kristi Noem,,Republican,South Dakota House of Representatives,South Dakota State University,2011,1971
Tennessee 1,Phil Roe 2.jpg Phil Roe,,Republican,"OB/GYN, Mayor of Johnson City",Austin Peay State University,,
