District,Representative,Party,Prior experience,Education,Assumed Office,Born In,
California 24,Lois Capps.jpg Lois Capps,,Democratic,"Nurse, Teacher",Pacific Lutheran University,,
Yale University,,,,,,,
"University of California, Santa Barbara",1998*,1938,,,,,
California 25,Steve Knight official congressional photo.jpeg Steve Knight,,Republican,"California State Senate, California State Assembly, Palmdale City Council",Antelope Valley College,2015,1966
California 26,Julia Brownley 113th Congress official photo.jpg Julia Brownley,,Democratic,California State Assembly,George Washington University,,
American University,2013,1952,,,,,
California 27,"Judy Chu, official photo.jpg Judy Chu",,Democratic,"Mayor of Monterey Park, Monterey Park City Council, California State Assembly, California State Board of Equalization","University of California, Los Angeles",2009*,1953
California 28,"Adam Schiff, official photo portrait, 111th Congress.jpg Adam Schiff",,Democratic,"California State Senate, Assistant Prosecutor for the United States Attorney for the Southern District of California",Stanford University,,
Harvard University,2001,1960,,,,,
California 29,U.S. Rep. Tony Cárdenas.jpg Tony Cárdenas,,Democratic,Los Angeles City Council,"University of California, Santa Barbara",2013,1963
California 30,Brad Sherman Official.jpg Brad Sherman,,Democratic,California Board of Equalization,"University of California, Los Angeles",,
Harvard Law School,1997,1954,,,,,
California 31,Pete Aguilar official portrait 114th Congress.jpg Pete Aguilar,,Democratic,Mayor of Redlands,University of Redlands,2015,1979
California 32,Rep-Napolitano.jpg Grace Napolitano,,Democratic,California State Assembly,Texas Southmost College,1999,1936
California 33,Rep Ted Lieu.jpg Ted Lieu,,Democratic,"California State Senate, California State Assembly",Stanford University,,
Georgetown University,2015,1969,,,,,
California 34,"Xavier Becerra, Official Portrait.JPG Xavier Becerra",,Democratic,California State Assembly,Stanford University,1993,1958
California 35,Norma Torres official portrait.jpg Norma Torres,,Democratic,"California State Senate, California State Assembly, Mayor of Pomona",National Labor College,2015,1965
California 36,"Raul Ruiz, official portrait, 113th congress.jpg Raul Ruiz",,Democratic,Emergency physician,"University of California, Los Angeles",,
Harvard University,2013,1972,,,,,
California 37,Karen-Bass-2012.jpg Karen Bass,,Democratic,Speaker of the California State Assembly,"California State University, Dominguez Hills",2011,1953
California 38,Linda Sanchez Official.jpg Linda Sánchez,,Democratic,Attorney,"University of California, Berkeley",,
"University of California, Los Angeles",2003,1969,,,,,
California 39,"Edward Royce, official photo portrait color.jpg Ed Royce",,Republican,California State Senate,"California State University, Fullerton",1993,1951
California 40,Lucille roybal.jpg Lucille Roybal-Allard,,Democratic,public relations executive,"California State University, Los Angeles",1993,1941
California 41,Mark Takano 113th Congress official photo.jpg Mark Takano,,Democratic,Teacher,Harvard University,2013,1960
California 42,Ken Calvert Portrait.jpg Ken Calvert,,Republican,Real Estate Executive,Chaffey College,,
San Diego State University,1993,1953,,,,,
California 43,Maxine Waters Official.jpg Maxine Waters,,Democratic,California State Assembly,"California State University, Los Angeles",1991,1938
California 44,"Janice Hahn, official portrait, 112th Congress.jpg Janice Hahn",,Democratic,"Los Angeles City Council, former businesswoman and teacher",Abilene Christian University,2011*,1952
California 45,Mimi Walters official congressional photo 2.jpg Mimi Walters,,Republican,"California State Senate, California State Assembly, Mayor of Laguna Niguel","University of California, Los Angeles",2015,1962
California 46,Loretta Sanchez official photo.jpg Loretta Sanchez,,Democratic,Financial analyst,Chapman University,,
American University,1997,1960,,,,,
California 47,Alan Lowenthal 113th Congress Portrait.jpeg Alan Lowenthal,,Democratic,"California State Senate, California State Assembly",Ohio State University|,,
Hobart College,2013,1941,,,,,
California 48,Dana Rohrabacher.jpg Dana Rohrabacher,,Republican,Special assistant to President Reagan,"California State University, Long Beach",,
University of Southern California,1989,1947,,,,,
California 49,Congressman Darrell Issa.jpg Darrell Issa,,Republican,Electronics executive,Kent State University,2001,1953
California 50,"Duncan D. Hunter, official photo portrait, 111th Congress.jpg Duncan D. Hunter",,Republican,"Military officer, businessman",San Diego State University,2009,1976
California 51,Juan Vargas official photo.jpg Juan Vargas,,Democratic,"California State Senate, California State Assembly, San Diego City Council",Harvard Law School,,
Fordham University,,,,,,,
University of San Diego,2013,1961,,,,,
California 52,Scott Peter's Official 113th Congressional Portrait.jpg Scott Peters,,Democratic,"San Diego City Council, San Diego Port Commission",Duke University,,
New York University School of Law,2013,1958,,,,,
