Year,Population
1990,249438712
1991,252127402
1992,254994517
1993,257746103
1994,260289237
1995,262764948
1996,265189794
1997,267743595
1998,270298524
1999,272690813
2000,282171957
2001,285081556
2002,287803914
2003,290326418
2004,293045739
2005,295753151
2006,298593212
2007,301579895
2008,304374846
2009,307006550
2010,310232863
2011,310232863
2012,310232863
2013,310232863
2014,310232863
