Name,BirthDate,CurrentDate,CurrentAge,Gender,Address,Contact_URL,Url,Phone,Party,DateInOffice,EndOfTerm,YearsInOffice,AgeAtTakingOfficeYear,StateAbb,State,District,OfficeAddress,Position,BelieveClimateChange,Quote,QuoteSource,QuoteURL
Adam B. Schiff,22-Jun-60,15-Dec-16,56,M,2411 Rayburn HOB; Washington DC 20515-0528,https://schiff.house.gov/contact,http://schiff.house.gov,202-225-4176,Democrat,3-Jan-01,3-Jan-17,15,40,CA,California,29,2411 Rayburn House Office Building,rep,Yes,,,
Adam Kinzinger,27-Feb-78,15-Dec-16,38,M,1221 Longworth HOB; Washington DC 20515-1316,https://kinzinger.house.gov/email-adam,http://kinzinger.house.gov,202-225-3635,Republican,5-Jan-11,3-Jan-17,5,32,IL,Illinois,17,1221 Longworth House Office Building,rep,,,,
Adam Smith,15-Jun-65,15-Dec-16,51,M,2264 Rayburn HOB; Washington DC 20515-4709,https://adamsmith.house.gov/contact/contactform.htm,https://adamsmith.house.gov,202-225-8901,Democrat,7-Jan-97,3-Jan-17,19,31,WA,Washington,10,2264 Rayburn House Office Building,rep,Yes,,,
Adrian Smith,19-Dec-70,15-Dec-16,45,M,2241 Rayburn HOB; Washington DC 20515-2703,https://adriansmith.house.gov/contact-me/email-me,http://adriansmith.house.gov,202-225-6435,Republican,4-Jan-07,3-Jan-17,9,36,NE,Nebraska,4,2241 Rayburn House Office Building,rep,,,,
Al Franken,21-May-51,15-Dec-16,65,M,309 Hart Senate Office Building Washington DC 20510,http://www.franken.senate.gov/?p=email_al,https://www.franken.senate.gov,202-224-5641,Democrat,7-Jul-09,3-Jan-21,7,58,MN,Minnesota,,309 Hart Senate Office Building,sen,Yes,,,
Al Green,1-Sep-47,15-Dec-16,69,M,2347 Rayburn HOB; Washington DC 20515-4309,https://algreen.house.gov/contact-me/email-me,http://algreen.house.gov,202-225-7508,Democrat,4-Jan-05,3-Jan-17,11,57,TX,Texas,10,2347 Rayburn House Office Building,rep,Yes,,,
Alan Grayson,13-Mar-58,15-Dec-16,58,M,303 Cannon HOB; Washington DC 20515-0909,https://grayson.house.gov/contact/email-me,http://grayson.house.gov,202-225-9889,Democrat,6-Jan-09,3-Jan-17,7,50,FL,Florida,10,303 Cannon House Office Building,rep,Yes,,,
Alan S. Lowenthal,8-Mar-41,15-Dec-16,75,M,108 Cannon HOB; Washington DC 20515-0547,http://lowenthal.house.gov/contact/howtocontactme.htm,http://lowenthal.house.gov,202-225-7924,Democrat,3-Jan-13,3-Jan-17,3,71,CA,California,48,108 Cannon House Office Building,rep,Yes,,,
Albio Sires,26-Jan-51,15-Dec-16,65,M,2342 Rayburn HOB; Washington DC 20515-3008,https://sires.house.gov/contact-me/email-me,http://sires.house.gov,202-225-7919,Democrat,13-Nov-06,3-Jan-17,10,55,NJ,New Jersey,9,2342 Rayburn House Office Building,rep,Yes,,,
Alcee L. Hastings,5-Sep-36,15-Dec-16,80,M,2353 Rayburn HOB; Washington DC 20515-0920,https://alceehastings.house.gov/forms/writeyourrep/?zip5=33407&zip4=3224,http://alceehastings.house.gov,202-225-1313,Democrat,5-Jan-93,3-Jan-17,23,56,FL,Florida,21,2353 Rayburn House Office Building,rep,Yes,,,
Alexander X. Mooney,5-Jun-71,15-Dec-16,45,M,1232 Longworth HOB; Washington DC 20515-4802,,https://mooney.house.gov,202-225-2711,Republican,6-Jan-15,3-Jan-17,1,43,WV,West Virginia,3,1232 Longworth House Office Building,rep,,,,
Alma S. Adams,27-May-46,15-Dec-16,70,F,222 Cannon HOB; Washington DC 20515-3312,http://adams.house.gov/contact,http://adams.house.gov,202-225-1510,Democrat,12-Nov-14,3-Jan-17,2,68,NC,North Carolina,13,222 Cannon House Office Building,rep,Yes,,,
Ami Bera,2-Mar-65,15-Dec-16,51,M,1535 Longworth HOB; Washington DC 20515-0507,https://beraforms.house.gov/forms/writeyourrep/,http://bera.house.gov,202-225-5716,Democrat,3-Jan-13,3-Jan-17,3,47,CA,California,8,1535 Longworth House Office Building,rep,Yes,,,
