,name,birthday,currentDate,age,gender,address,contact_form,url,phone,party,dateInOffice,endOfTerm,yearsInCongress,ageInOffice,stateAbb,state,district,office,position,quote,quoteSource,quoteURL
525,Aumua Amata Coleman Radewagen,29-Dec-1947,15-Dec-2016,68,F,1339 Longworth HOB; Washington DC 20515-5200,,https://radewagen.house.gov,202-225-8577,Republican,6-Jan-2015,3-Jan-2017,1,67,AS,,1,1339 Longworth House Office Building,rep,,,
258,Eleanor Holmes Norton,13-Jun-1937,15-Dec-2016,79,F,2136 Rayburn HOB; Washington DC 20515-5101,https://norton.house.gov/contact/email-me,http://norton.house.gov,202-225-8050,Democrat,3-Jan-1991,3-Jan-2017,25,53,DC,,1,2136 Rayburn House Office Building,rep,,,
58,Madeleine Z. Bordallo,31-May-1933,15-Dec-2016,83,F,2441 Rayburn HOB; Washington DC 20515-5301,https://bordallo.house.gov/contact-me,http://bordallo.house.gov,202-225-1188,Democrat,7-Jan-2003,3-Jan-2017,13,69,GU,,1,2441 Rayburn House Office Building,rep,,,
308,Gregorio Kilili Camacho Sablan,19-Jan-1955,15-Dec-2016,61,M,423 Cannon HOB; Washington DC 20515-5201,http://sablan.house.gov/email-me,http://sablan.house.gov,202-225-2646,Independent,6-Jan-2009,3-Jan-2017,7,53,MP,,1,423 Cannon House Office Building,rep,,,
272,Pedro R. Pierluisi,26-Apr-1959,15-Dec-2016,57,M,2410 Rayburn HOB; Washington DC 20515-5401,https://pierluisi.house.gov/contact/email-me,http://pierluisi.house.gov,202-225-2615,Democrat,6-Jan-2009,3-Jan-2017,7,49,PR,,1,2410 Rayburn House Office Building,rep,,,
520,Stacey E. Plaskett,13-May-1964,15-Dec-2016,52,F,509 Cannon HOB; Washington DC 20515-5500,,https://plaskett.house.gov,202-225-1790,Democrat,6-Jan-2015,3-Jan-2017,1,50,VI,,1,509 Cannon House Office Building,rep,,,
